Name,Season,Team,Team Wins,Team Win Percentage,Position,MIN,PTS,FG_PCT,FG3_PCT,FT_PCT,REB,AST,STL,BLK,TOV,PER,OFFRTG,DEFRTG,NETRTG,AST_PCT,AST_TO_TO,AST_RATIO,TO_RATIO,EFG,TS,USG_RATE,WIN_SHARE,Team_Valuation,Team_Home_Attendance_Percentage,Salary(millions),PTS_WON,MAX,PTS_WON2
Russell Westbrook,2013,OKC,60,0.731,G,34.9,23.2,0.438,0.323,0.8,5.2,7.4,1.8,0.3,3.3,23.98,112,100.7,11.3,37.2,2.22,22.7,10.2,47,53.2,32.1,11.6,590,100,14.6,9,1210,0.007
Dwyane Wade,2013,MIA,66,0.804,G,34.7,21.2,0.521,0.258,0.725,5,5.1,1.9,0.8,2.8,24.04,112.7,100.5,12.2,24.8,1.81,19.3,10.6,52.8,57.1,28.6,9.6,770,102,18.6,5,1210,0.004
Stephen Curry,2013,GSW,47,0.573,G,38.2,22.9,0.451,0.453,0.9,4,6.9,1.6,0.2,3.1,21.34,106.7,104,2.7,29.8,2.25,23.6,10.5,54.9,58.9,25.6,11.2,750,98.9,9.8,3,1210,0.002
Kevin Garnett,2013,BOS,41,0.5,F,29.7,14.8,0.496,0.125,0.786,7.8,2.3,1.1,0.9,1.6,19.25,98,95.4,2.6,14.7,1.45,13.2,9.1,49.8,53.5,24.3,5.6,,100,14,1,1210,0
Marc Gasol,2013,MEM,56,0.682,C,35,14.1,0.494,0.071,0.848,7.8,4,1,1.7,2,19.57,104.3,95.5,8.8,19,2.03,21.4,10.5,49.4,55.9,19.2,11.5,453,91.8,14.8,1,1210,0
Ty Lawson,2013,DEN,57,0.695,G,34.4,16.7,0.461,0.366,0.756,2.7,6.9,1.5,0.1,2.5,17.96,109.6,104.2,5.4,29.5,2.75,27.9,10.1,50.5,54.9,21.8,7.4,,93,10.7,1,1210,0
David Lee,2013,GSW,47,0.573,F,36.8,18.5,0.519,0,0.797,11.2,3.5,0.8,0.3,2.6,19.23,106.6,103.4,3.2,15.8,1.35,15.6,11.6,51.9,56.1,22.9,9.1,750,98.9,13.8,1,1210,0
Joakim Noah,2013,CHI,45,0.548,C,36.8,11.9,0.481,0,0.751,11.1,4,1.2,2.1,2.7,18.16,100.6,98.8,1.9,17.6,1.49,22.2,14.9,48.1,53.4,17,7.3,1000,104.6,11.1,1,1210,0
LeBron James,2012,MIA,46,0.696,F,37.5,27.1,0.531,0.362,0.771,7.9,6.2,1.9,0.8,3.4,30.8,108.3,98.1,10.2,31.8,1.82,19.5,10.7,55.4,60.5,31,14.5,625,101.7,19.1,1074,1210,0.887
Kevin Durant,2012,OKC,47,0.712,F,38.6,28,0.496,0.387,0.86,8,3.5,1.3,1.2,3.8,26.26,108.8,101.6,7.2,17,0.93,11.7,12.5,54.7,61,30.2,12.2,475,100,17.8,889,1210,0.734
Chris Paul,2012,LAC,40,0.606,G,36.4,19.8,0.478,0.371,0.861,3.6,9.1,2.5,0.1,2.1,27.09,111,103.5,7.6,41.3,4.38,32.3,7.4,52.2,58.1,23.6,12.7,430,100.8,18.6,385,1210,0.318
Kobe Bryant,2012,LAL,41,0.621,G,38.5,27.9,0.43,0.303,0.845,5.4,4.6,1.2,0.3,3.5,21.95,104.5,101.5,3,23.7,1.29,13.3,10.3,46.2,52.7,34.5,6.2,,99.7,30.4,352,1210,0.29
Tony Parker,2012,SAS,50,0.757,G,32.1,18.3,0.48,0.23,0.799,2.9,7.7,1,0.1,2.6,22.04,108.7,97.7,11.1,40.4,3.03,28.4,9.4,48.8,53.9,27.4,7.1,527,99,12.5,331,1210,0.273
Kevin Love,2012,MIN,26,0.393,F,39,26,0.448,0.372,0.824,13.3,2,0.9,0.5,2.3,25.41,105.1,104.5,0.7,9.8,0.87,7.4,8.5,49.2,56.8,28.1,10,364,90.4,13.6,58,1210,0.047
Dwight Howard,2012,ORL,37,0.56,C,38.3,20.6,0.573,0,0.491,14.5,1.9,1.5,2.1,3.2,24.29,104.4,99.9,4.5,9.8,0.59,8.2,13.9,57.3,56.9,25.8,7.7,,102.1,18.09,13,1210,0.01
Rajon Rondo,2012,BOS,39,0.59,G,36.9,11.9,0.448,0.238,0.597,4.8,11.7,1.8,0.1,3.6,17.55,102.3,97.3,4.9,49.8,3.21,42.3,13.2,45.6,48.3,20,4.9,,100,11,12,1210,0.009
Steve Nash,2012,PHO,33,0.5,G,31.6,12.5,0.532,0.39,0.894,3,10.7,0.6,0.1,3.7,20.29,107.8,103.2,4.6,49.1,2.9,44.2,15.2,58.1,62.5,19,5.9,,84.7,9.3,7,1210,0.005
Dwyane Wade,2012,MIA,46,0.696,G,33.2,22.1,0.497,0.268,0.791,4.8,4.6,1.7,1.3,2.6,26.37,107.6,97.3,10.3,25.1,1.74,17,9.8,50.6,55.9,30.4,7.7,625,101.7,18.6,6,1210,0.004
Derrick Rose,2012,CHI,50,0.757,G,35.3,21.8,0.435,0.312,0.812,3.4,7.9,0.9,0.7,3.1,23.1,108.9,98.5,10.4,37.9,2.58,25.1,9.7,47.3,53.2,29.5,6,800,105.9,17.6,5,1210,0.004
Dirk Nowitzki,2012,DAL,36,0.545,F,33.5,21.6,0.457,0.368,0.896,6.7,2.2,0.7,0.5,1.9,21.81,103.4,97.2,6.2,11.9,1.16,9.5,8.2,49.5,56.4,28.2,7.6,,105.9,20.9,4,1210,0.003
Russell Westbrook,2012,OKC,47,0.712,G,35.3,23.6,0.457,0.316,0.823,4.6,5.5,1.7,0.3,3.6,23,108.7,101,7.7,28.4,1.51,17.6,11.6,48.1,53.8,331.7,7.9,475,100,14.6,4,1210,0.003
Tim Duncan,2012,SAS,50,0.757,F,28.2,15.4,0.492,0,0.695,9,2.3,0.7,1.5,1.7,22.6,106.6,96.9,9.6,13.7,1.36,12.3,9.1,49.2,53.1,25.8,5.9,527,99,9.6,3,1210,0.002
Joe Johnson,2012,ATL,40,0.606,G,35.5,18.8,0.454,0.388,0.849,3.7,3.9,0.8,0.2,1.9,18.5,106,100.1,5.8,18.9,2,17.1,8.5,52.1,55.7,24.6,6.4,,91.2,19.7,1,1210,0
Derrick Rose,2011,CHI,62,0.756,,37.4,25,0.445,0.332,0.858,4.1,7.7,1,0.6,3.4,23.62,109,100.2,8.7,37.2,2.24,22.8,10.2,48.5,55,31.3,13.1,600,104.2,6.9,1182,1210,0.976
Dwight Howard,2011,ORL,52,0.634,,37.6,22.9,0.593,0,0.596,14.1,1.4,1.4,2.4,3.6,26.13,108.8,100,8.8,6.7,0.38,5.8,15.1,59.3,61.6,27.1,14.4,,102.6,18,643,1210,0.531
LeBron James,2011,MIA,58,0.707,,38.8,26.7,0.51,0.33,0.759,7.5,7,1.6,0.6,3.6,27.34,111.2,101.1,10.1,34.3,1.95,21.3,10.9,54.1,59.4,30,15.6,457,100.9,17.5,522,1210,0.431
Kobe Bryant,2011,LAL,57,0.695,,33.9,25.3,0.451,0.323,0.828,5.1,4.7,1.2,0.1,3,23.94,111.1,103.6,7.5,25.8,1.6,15.5,9.7,48.7,54.8,34.1,10.3,,99.7,25.2,428,1210,0.353
Kevin Durant,2011,OKC,55,0.67,,38.9,27.7,0.462,0.35,0.88,6.8,2.7,1.1,1,2.8,23.7,110.7,106.4,4.2,12.7,0.98,9.5,9.7,50.9,58.9,29.6,12,348,99.7,15.5,190,1210,0.157
Dirk Nowitzki,2011,DAL,57,0.695,,34.3,23,0.517,0.393,0.892,7,2.6,0.5,0.6,1.9,23.52,109.8,99.5,10.3,13.6,1.39,11.3,8.1,54.5,61.2,27.2,11.1,,104.7,19,113,1210,0.093
Dwyane Wade,2011,MIA,58,0.707,,37.1,25.5,0.5,0.306,0.758,6.4,4.6,1.5,1.1,3.1,25.65,112.3,101.8,10.5,22.3,1.46,15.4,10.6,52.3,58.1,30.7,12.8,457,100.9,15.6,24,1210,0.019
Manu Ginobili,2011,SAS,61,0.743,,30.3,17.4,0.433,0.349,0.871,3.7,4.9,1.5,0.4,2.2,21.78,110.6,99.9,10.7,24.9,2.26,22.5,9.9,50.9,58.1,24.5,9.9,418,98.6,14.1,20,1210,0.016
Amar'e Stoudemire,2011,NYK,42,0.512,,36.8,25.3,0.502,0.435,0.792,8.2,2.6,0.9,1.9,3.2,22.78,110.8,109.1,1.7,12.8,0.81,9.2,11.4,50.5,56.5,30.6,8,,99.8,18.2,9,1210,0.007
Blake Griffin,2011,LAC,32,0.39,,38,22.5,0.506,0.292,0.642,12.1,3.8,0.8,0.5,2.7,21.93,105.5,107.4,-1.9,18.4,1.4,14.1,10.1,50.8,54.9,26.9,9.8,,93.1,5.7,5,1210,0.004
Rajon Rondo,2011,BOS,56,0.682,,37.2,10.6,0.475,0.233,0.568,4.4,11.2,2.3,0.2,3.4,17.11,108.2,99.2,9.1,44.8,3.25,44.2,13.6,48.2,49.5,17.9,6.6,,100,10,5,1210,0.004
Tony Parker,2011,SAS,61,0.743,,32.4,17.5,0.519,0.357,0.769,3.1,6.6,1.2,0,2.6,20.44,108.1,101.9,6.2,34.5,2.57,26.8,10.4,53.1,56.9,24.9,8.2,418,98.6,12.5,3,1210,0.002
Chris Paul,2011,NOH,46,0.56,,36,15.9,0.463,0.388,0.878,4.1,9.8,2.4,0.1,2.2,23.76,107.3,103,4.3,44.1,4.42,38.3,8.7,50.2,57.8,20.5,13.9,285,86.1,16.3,2,1210,0.001
LeBron James,2010,CLE,61,0.743,,39,29.7,0.503,0.333,0.767,7.3,8.6,1.6,1,3.4,31.19,113.8,102.7,11.1,39.8,2.49,23.5,9.4,54.5,60.4,32.7,18.5,355,100,14.5,1205,1230,0.979
Kevin Durant,2010,OKC,50,0.609,,39.5,30.1,0.476,0.365,0.9,7.6,2.8,1.4,1,3.3,26.23,108.7,102.5,6.3,13,0.85,9.1,10.7,51.4,60.7,31,16.1,329,98.9,6,609,1230,0.495
Kobe Bryant,2010,LAL,57,0.695,,38.8,27,0.456,0.329,0.811,5.4,5,1.5,0.3,3.2,21.95,109.6,101.3,8.3,23,1.57,15.2,9.7,48.8,54.5,31.8,9.4,,99.7,24.8,599,1230,0.486
Dwight Howard,2010,ORL,59,0.719,,34.7,18.3,0.612,0,0.592,13.2,1.8,0.9,2.8,3.3,24.07,112,100.2,11.8,8.7,0.53,8.9,16.9,61.2,63,24,13.2,,100,16.6,478,1230,0.388
Dwyane Wade,2010,MIA,47,0.573,,36.3,26.6,0.476,0.3,0.761,4.8,6.5,1.8,1.1,3.3,28.1,109.9,103.5,6.4,33.4,1.99,19.5,9.8,50,56.2,33.6,13,,90.5,14.2,119,1230,0.096
Carmelo Anthony,2010,DEN,53,0.646,,38.2,28.2,0.458,0.316,0.83,6.6,3.2,1.3,0.4,3,22.29,111.4,105.6,5.8,15.9,1.06,10.1,9.5,47.8,54.8,32.6,7.9,,98.7,17.1,65,1230,0.052
Dirk Nowitzki,2010,DAL,55,0.67,,37.5,25,0.481,0.421,0.915,7.7,2.7,0.9,1,1.8,23.01,108.2,102.7,5.5,12.8,1.46,10.3,7.1,49.8,57.8,28.2,12.3,,104.1,17.2,55,1230,0.044
Steve Nash,2010,PHO,54,0.658,,32.8,16.5,0.507,0.426,0.938,3.3,11,0.5,0.1,3.6,21.67,115.8,109.1,6.7,48.3,3.02,39.6,13.1,57,61.5,22.2,9.9,,95.8,10.3,49,1230,0.039
Deron Williams,2010,UTA,53,0.646,,36.9,18.7,0.469,0.371,0.801,4,10.5,1.3,0.2,3.3,20.62,112.3,103.9,8.4,42.9,3.17,34.9,11,51.5,57.4,23.7,10.3,,97.3,14.9,7,1230,0.005
Amar'e Stoudemire,2010,PHO,54,0.658,,34.6,23.1,0.557,0.167,0.771,8.9,1,0.6,1,2.6,22.69,114.5,108.5,6.1,4.7,0.38,4.5,11.6,55.7,61.5,26.9,10.7,,95.8,16.4,5,1230,0.004
Manu Ginobili,2010,SAS,50,0.609,,28.7,16.5,0.441,0.377,0.87,3.8,4.9,1.4,0.3,2.1,22.54,110,101.7,8.4,27.3,2.4,23.6,9.8,51.4,58.4,24.5,9.7,,97.4,11.8,3,1230,0.002
Chauncey Billups,2010,DEN,53,0.646,,34.1,19.5,0.418,0.386,0.91,3.1,5.6,1.1,0.1,2.4,20.25,111.2,106.5,4.6,27,2.31,23.1,10.1,49.9,60.1,23.8,9.5,,93.9,13.1,1,1230,0
Chris Bosh,2010,TOR,40,0.487,,36.1,24,0.518,0.364,0.797,10.8,2.4,0.6,1,2.4,25.11,110.3,110.1,0.2,11.6,0.98,9.5,9.6,52.2,59.2,28.3,9.6,,90.4,14.5,1,1230,0
Stephen Jackson,2010,TOT,44,0.536,,38.6,20.6,0.423,0.328,0.779,5,3.7,1.6,0.5,3.2,15.69,105.2,102.8,2.4,17,1.16,13.9,12,46.9,51.8,27,5,,,8.4,1,1230,0
Joe Johnson,2010,ATL,53,0.646,,38,21.3,0.458,0.369,0.818,4.6,4.9,1.1,0.1,1.9,19.33,112.3,106.3,6,21.6,2.54,18.4,7.2,50.5,53.8,26.3,8.4,,88.3,16.3,1,1230,0
LeBron James,2009,CLE,61,0.743,,37.7,28.4,0.489,0.344,0.78,7.6,7.2,1.7,1.1,3,31.76,113.8,99.1,14.8,36.5,2.44,21.2,8.7,53,59.1,32.9,20.3,476,97.3,15.7,1172,1210,0.968
Kobe Bryant,2009,LAL,57,0.695,,36.1,26.8,0.467,0.351,0.856,5.2,4.9,1.5,0.5,2.6,24.46,114.1,102.9,11.2,23.2,1.9,15.6,8.2,50.2,56.1,31.6,12.7,,99.7,23,698,1210,0.576
Dwyane Wade,2009,MIA,47,0.573,,38.6,30.2,0.491,0.317,0.765,5,7.5,2.2,1.3,,30.46,108.7,105.2,3.5,37.7,2.17,20.1,9.3,51.6,57.4,35,,,93,15.7,680,1210,0.561
Dwight Howard,2009,ORL,59,0.719,,35.7,20.6,0.572,0,0.594,13.8,1.4,1,2.9,,25.44,109.9,99.8,10.2,7.2,0.47,6.6,14.1,57.2,60,25.7,13.8,,97.6,15.2,328,1210,0.271
Chris Paul,2009,NOH,37,0.451,,38.5,22.8,0.503,0.364,0.868,5.5,11,2.8,0.1,,30.04,110.8,104.3,6.5,51.2,3.73,33.4,9,52.8,59.9,27,,267,98.7,4.57,192,1210,0.158
Chauncey Billups,2009,TOT,54,0.658,,35.3,17.7,0.418,0.408,0.913,3,6.4,1.2,0.2,,18.85,111.4,105.9,5.5,28.7,2.86,27.3,9.6,50.1,59.2,21.5,10.1,,99.1,12.1,33,1210,0.027
Paul Pierce,2009,BOS,50,0.609,,37.5,20.5,0.457,0.391,0.83,5.6,3.6,1,0.3,2.8,17.74,109.5,100.6,8.9,16.1,1.29,15.1,11.7,50.8,58.2,25.1,10.3,,100,19.7,21,1210,0.017
Tony Parker,2009,SAS,50,0.609,,34.1,22,0.506,0.292,0.782,3.1,6.9,0.9,0.1,,23.47,110.3,103.3,7,37.1,2.67,23.6,8.8,51.3,55.6,31.1,8.6,,97.2,12.6,9,1210,0.007
Brandon Roy,2009,POR,50,0.609,,37.2,22.6,0.48,0.377,0.824,4.7,5.1,1.1,0.3,,24.08,114.2,104.9,9.3,24.3,2.63,19.1,7.3,51.2,57.3,27.1,,,102.7,3.9,7,1210,0.005
Dirk Nowitzki,2009,DAL,55,0.67,,37.7,25.9,0.479,0.359,0.89,8.4,2.4,0.8,0.8,,23.2,109.7,105.9,3.8,11.7,1.25,9,7.2,49.8,56.4,29.4,9.4,,104.4,18.07,3,1210,0.002
Tim Duncan,2009,SAS,50,0.609,,33.7,19.3,0.504,0,0.692,10.7,3.5,0.5,1.7,2.2,24.51,108.2,102.5,5.7,18.8,1.6,15.1,9.4,50.4,54.9,28.3,10.1,398,97.2,22.1,2,1210,0.001
Yao Ming,2009,HOU,42,0.512,,33.6,19.7,0.548,1,0.866,9.9,1.8,0.4,1.9,,22.74,108.5,99.1,9.4,9.6,0.59,8.7,14.8,54.9,61.8,25.7,10.6,,96.9,16.3,1,1210,0
Kobe Bryant,2008,LAL,65,0.792,,38.9,28.3,0.459,0.361,0.84,6.3,5.4,1.8,0.5,3.1,24.09,112.6,103.5,9.2,23.6,1.72,16.3,9.5,50.3,57.6,30.8,13.8,,98.5,21.2,1100,1260,0.873
Chris Paul,2008,NOH,49,0.597,,37.6,21.1,0.488,0.369,0.851,4,11.6,2.7,0.1,,28.39,113.1,105,8.1,50,4.6,35.8,4.6,52.4,57.6,25,17.8,,82.4,4.5,894,1260,0.709
Kevin Garnett,2008,BOS,62,0.756,,32.8,18.8,0.539,0,0.801,9.2,3.4,1.4,1.3,1.9,25.42,111.5,95.2,16.4,18.6,1.77,16,9,53.9,58.8,25.5,12.9,,100,24.7,670,1260,0.531
LeBron James,2008,CLE,66,0.804,,40.4,30,0.484,0.315,0.712,7.9,7.2,1.8,1.1,3.4,29.15,106.9,105,1.9,35.2,2.11,19.5,9.2,51.8,56.8,32.7,15.2,,99.5,14.4,438,1260,0.347
Dwight Howard,2008,ORL,59,0.719,,37.7,20.7,0.599,0,0.59,14.2,1.3,0.9,2.1,,22.61,112.1,104.7,7.4,5.9,0.42,6.3,15,59.9,61.9,23.8,12.9,,100.3,13.7,60,1260,0.047
Amar'e Stoudemire,2008,PHO,46,0.56,,33.9,25.2,0.59,0.161,0.805,9.1,1.5,0.8,2.1,,27.29,115.4,104.1,11.6,7.2,0.68,6.6,9.7,59.2,59.2,27.7,14.6,,96.8,15,27,1260,0.021
Tim Duncan,2008,SAS,54,0.658,,34,19.3,0.497,0,0.73,11.3,2.8,0.7,1.9,2.3,24.05,107.7,99.4,8.3,15.2,1.22,12.2,10,49.7,54.6,27.9,11.1,,100.3,20.5,25,1260,0.019
Tracy McGrady,2008,HOU,53,0.646,,37,21.6,0.419,0.292,0.684,5.1,5.9,1,0.5,2.4,18.6,105.6,100.3,5.3,29.4,2.42,19.2,7.9,45.2,48.7,29.9,5.8,,94.7,20.3,19,1260,0.015
Steve Nash,2008,PHO,46,0.56,,34.3,16.9,0.504,0.47,0.906,3.5,11.1,0.7,0.1,2.4,21.04,115.8,106.4,9.4,44.7,3.04,44.7,13.2,59.7,64.1,21.2,10.5,,96.8,12.2,18,1260,0.014
Manu Ginobili,2008,SAS,54,0.658,,31.1,19.5,0.46,0.401,0.86,4.8,4.5,1.5,0.4,,24.07,106,97.3,8.7,25.7,1.66,19.5,11.7,54,61.2,27.7,11.1,,100.3,9.9,9,1260,0.007
Dirk Nowitzki,2008,DAL,50,0.609,,36,23.6,0.479,0.359,0.879,8.6,3.5,0.7,0.9,2.1,24.78,112,103,9,17.1,1.66,13.5,8.1,51,58.5,28.2,12.9,,100,18,5,1260,0.003
Deron Williams,2008,UTA,48,0.585,,37.3,18.8,0.507,0.395,0.803,3,10.5,1.1,0.3,,20.75,112.7,105.6,7.1,42.7,3.09,35.4,11.5,54.4,59.5,22.8,11.3,,100,5,4,1260,0.003
