Name,Season,Team,Team Wins,Team Win Percentage,Position,MIN,PTS,FG_PCT,FG3_PCT,FT_PCT,REB,AST,STL,BLK,TOV,PER,OFFRTG,DEFRTG,NETRTG,AST_PCT,AST_TO_TO,AST_RATIO,TO_RATIO,EFG,TS,USG_RATE,WIN_SHARE,Team_Valuation,Team_Home_Attendance_Percentage,Salary(millions),PTS_WON,MAX,PTS_WON2
Carmelo Anthony,2008,DEN,54,0.658,,36.4,25.7,0.492,0.354,0.786,7.4,3.4,1.3,0.5,,21.29,108.9,106.1,2.8,15.6,1.02,11.6,11.3,51.1,56.8,29.5,8.2,,99.1,14.4,3,1260,0.002
Carlos Boozer,2008,UTA,48,0.585,,34.9,21.1,0.547,0,0.738,10.4,2.9,1.2,0.5,,21.83,113.3,105.4,7.8,13.5,1.11,12.2,11,54.7,58.1,26.2,10.2,,100,11.5,1,1260,0
Antawn Jamison,2008,WAS,19,0.231,,38.7,21.4,0.436,0.339,0.76,10.2,1.5,1.3,0.4,,20.19,109.5,106.3,3.2,7,1.06,6.5,6.1,47.8,52.5,25.2,9.2,,,9.9,1,1260,0
Paul Pierce,2008,BOS,62,0.756,,35.9,19.6,0.464,0.392,0.843,5.1,4.5,1.3,0.5,2.8,19.85,111,96.9,14.1,21,1.64,19.2,11.7,52.9,59.9,24.4,12.4,,100,18,1,1260,0
Rasheed Wallace,2008,DET,39,0.475,,30.5,12.7,0.432,0.356,0.767,6.6,1.8,1.2,1.7,1.1,17.13,110.4,99.6,10.8,9.5,1.59,11.8,7.4,49.7,52.3,20.7,7.6,,100,13.9,1,1260,0
Dirk Nowitzki,2007,DAL,51,0.621,,36.2,24.6,0.502,0.416,0.904,8.9,3.4,0.7,0.8,2.1,27.7,113.3,101.4,12,16.9,1.57,13.2,8.4,52.9,60.5,28.2,16.3,,,,1138,1290,0.882
Steve Nash,2007,PHO,55,0.67,,35.3,18.6,0.532,0.455,0.899,3.5,11.6,0.8,0.1,4.4,23.87,116.1,105,11.1,46.8,3.08,39.7,12.9,61.3,65.4,22.2,12.6,,96.8,11.3,1013,1290,0.785
Kobe Bryant,2007,LAL,57,0.695,,40.8,31.6,0.463,0.344,0.868,5.7,5.4,1.4,0.5,3.3,26.13,107.9,106.4,1.5,24.9,1.62,15,9.3,50.2,58,32.8,13,,98.5,19.4,521,1290,0.403
Tim Duncan,2007,SAS,56,0.682,,34.1,20,0.546,0.111,0.637,10.6,3.4,0.8,2.4,2.8,26.2,110.6,95.9,14.7,18.2,1.22,14.5,11.9,54.7,57.9,27.7,13,,100.8,19,286,1290,0.221
LeBron James,2007,CLE,45,0.548,,40.9,27.3,0.476,0.319,0.698,6.7,6,1.6,0.7,3.2,24.56,105.3,99.6,5.7,28.1,1.88,17.9,9.5,50.7,55.2,30.2,13.7,,99.4,13,183,1290,0.141
Tracy McGrady,2007,HOU,55,0.67,,35.8,24.6,0.431,0.331,0.707,5.3,6.5,1.3,0.5,3,23.28,106.7,99,7.8,35.3,2.15,19.4,9,47.4,51.5,34,8.6,,89.4,18.2,110,1290,0.085
Chris Bosh,2007,TOR,41,0.5,,38.5,22.6,0.496,0.343,0.785,10.7,2.5,0.6,1.3,,22.72,107.3,103.3,4,11.5,0.98,10.2,10.5,50.2,57.7,26.6,9.6,,92.2,13,43,1290,0.033
Gilbert Arenas,2007,WAS,43,0.524,,39.8,28.4,0.418,0.351,0.844,4.6,6,1.9,0.2,,24.07,111,107.9,3.2,25.7,1.88,17.6,9.4,48.4,56.5,30.1,10.8,,,11.9,31,1290,0.024
Carlos Boozer,2007,UTA,54,0.658,,34.6,20.9,0.561,,0.685,11.7,3,0.9,0.3,,24.11,108.8,105.7,3.1,15.8,1.14,12.8,11.2,56.1,58.8,26.1,9.9,,98.3,11.5,7,1290,0.005
Kevin Garnett,2007,MIN,22,0.268,,39.4,22.4,0.476,0.214,0.835,12.8,4.1,1.2,1.7,2.7,24.2,104,103.9,0.1,19,1.53,15.1,9.9,48,54.6,27.1,10.7,,84.2,23.7,7,1290,0.005
Chauncey Billups,2007,DET,59,0.719,,36.2,17,0.427,0.345,0.883,3.4,7.2,1.2,0.2,,21.38,110.2,102.5,7.8,32.1,3.59,30.7,8.6,49.4,59.1,21.1,11.4,,100,6.3,4,1290,0.003
Shaquille O'Neal,2007,MIA,15,0.182,,28.4,17.3,0.591,,0.422,7.4,2,0.2,1.4,2.4,21.85,104.2,100.7,3.5,13.8,0.83,10.1,12.1,59.1,56.7,29.8,2.8,,100.6,21,3,1290,0.002
Dwyane Wade,2007,MIA,15,0.182,,37.9,27.4,0.491,0.266,0.807,4.7,7.5,2.1,1.2,,29.04,105.8,103.6,2.2,37.8,1.78,21.4,12,50.2,58.3,33.2,8.8,,100.6,13,3,1290,0.002
Amar'e Stoudemire,2007,PHO,55,0.67,,32.8,20.4,0.575,0,0.781,9.6,1,1,1.3,,23.15,113.4,104.8,8.6,4.9,0.36,5.2,14.4,57.5,63.7,25.1,,,96.8,13.7,2,1290,0.001
Carmelo Anthony,2007,DEN,50,0.609,,38.2,28.9,0.476,0.268,0.808,6,3.8,1.2,0.4,,22.2,108.4,106.6,1.8,18.3,1.06,11.5,10.8,48.9,55.2,32.7,7.3,,97.5,13,1,1290,0
Baron Davis,2007,GSW,48,0.585,,35.3,20.1,0.439,0.304,0.745,4.4,8.1,2.1,0.5,,21.02,108.9,103.6,5.2,35.6,2.64,27.1,10.3,48,53,26.2,6.4,,92.4,16.4,1,1290,0
Tony Parker,2007,SAS,56,0.682,,32.5,18.6,0.52,0.395,0.783,3.2,5.5,1.1,0.1,,21.46,108.3,97.7,10.6,30.7,2.2,22.6,10.3,52.7,57.2,27,9.6,,100.8,10.5,1,1290,0
Steve Nash,2006,PHO,61,0.743,,35.4,18.8,0.512,0.439,0.921,4.2,10.5,0.8,0.2,3.4,23.29,111.8,103.7,8.1,43.5,2.99,36.5,12.2,58.3,63.2,22.6,12.4,,93.6,10.5,924,1250,0.739
LeBron James,2006,CLE,50,0.609,,42.5,31.4,0.48,0.335,0.738,7,6.6,1.6,0.8,3.3,28.17,108,104,4,31.5,2,17.7,8.9,51.5,56.8,32.9,16.3,,94,5.8,688,1250,0.55
Dirk Nowitzki,2006,DAL,67,0.817,,38.1,26.6,0.48,0.406,0.901,9,2.8,0.7,1,1.9,28.2,111.5,102.8,8.7,14.2,1.45,10.3,7.1,51.5,58.9,29.3,17.7,,,15.1,544,1250,0.435
Kobe Bryant,2006,LAL,42,0.512,,41,35.4,0.45,0.347,0.85,5.3,4.5,1.8,0.4,3.1,28.11,109.5,104.7,4.9,22.8,1.44,11.5,8,49.1,55.9,37.7,15.3,,97.9,17.7,483,1250,0.386
Chauncey Billups,2006,DET,53,0.646,,36.1,18.5,0.418,0.433,0.894,3.1,8.6,0.9,0.1,,23.43,111,100.1,10.9,39.2,4.11,33.5,8.1,50.9,60.2,22.5,15.5,,100,6.3,430,1250,0.344
Dwyane Wade,2006,MIA,44,0.536,,38.6,27.2,0.495,0.171,0.783,5.7,6.7,1.9,0.8,,27.68,110.2,101.7,8.5,31.2,1.88,19.8,10.5,49.9,57.7,31.7,14.4,,101.8,3.8,87,1250,0.069
Elton Brand,2006,LAC,40,0.487,,39.2,24.7,0.527,0.333,0.775,10,2.6,1,2.5,2.2,26.67,104.6,101.5,3.1,12.7,1.2,10.1,8.4,52.7,58,27.1,14.8,,,14.2,50,1250,0.04
Tim Duncan,2006,SAS,58,0.707,,34.8,18.6,0.484,0.4,0.629,11,3.2,0.9,2,2.5,23.13,106.1,96.2,9.9,16.2,1.28,13.5,10.6,48.5,52.3,27.3,10.8,,101.6,17.4,33,1250,0.026
Tony Parker,2006,SAS,58,0.707,,33.9,18.9,0.548,0.306,0.707,3.3,5.8,1,0.1,,20.89,107.3,96.9,10.5,31.1,1.85,23,12.5,55.3,58.4,26.5,9.6,,101.6,9.4,9,1250,0.007
Allen Iverson,2006,PHI,35,0.426,,43.1,33,0.447,0.323,0.814,3.2,7.4,1.9,0.1,3.6,26.02,106.4,106.2,0.3,33.1,2.15,17.9,8.3,46.1,54.3,35,10.6,,80.8,17.1,1,1250,0
Shawn Marion,2006,PHO,61,0.743,,40.3,21.8,0.525,0.331,0.809,11.8,1.8,2,1.7,,23.66,109.6,103.4,6.1,6.8,1.14,8.1,7.1,56,59.1,21.7,14.6,,93.6,15,1,1250,0
Steve Nash,2005,PHO,54,0.658,,34.3,15.5,0.502,0.431,0.887,3.3,11.5,1,0.1,4.7,22.04,118,105.2,12.8,46,3.51,41.8,11.9,55.7,60.6,20,10.9,,93.1,9.6,1066,1270,0.839
Shaquille O'Neal,2005,MIA,52,0.634,,34.1,22.9,0.601,,0.461,10.4,2.7,0.5,2.3,2.8,27.03,111.5,101,10.5,14.9,0.99,10.9,11.1,60.1,58.3,30,11,,101.4,20,1032,1270,0.812
Dirk Nowitzki,2005,DAL,60,0.731,,38.7,26.1,0.459,0.399,0.869,9.7,3.1,1.2,1.5,2.3,26.14,111,101.3,9.7,13.8,1.36,11,8.1,49,57.8,28.3,15.6,,,12.58,349,1270,0.274
Tim Duncan,2005,SAS,63,0.768,,33.4,20.3,0.496,0.333,0.67,11.1,2.7,0.7,2.6,1.9,27.12,109,92.5,16.5,15.1,1.41,11.5,8.2,49.8,54,28.8,11.2,,99,15.8,328,1270,0.258
Allen Iverson,2005,PHI,38,0.463,,42.3,30.7,0.424,0.308,0.835,4,7.9,2.4,0.1,4.6,23.27,103.2,102.9,0.3,36.1,1.73,19.2,11.1,45.3,53.2,34.3,9,,87.4,16.4,240,1270,0.188
LeBron James,2005,CLE,50,0.609,,42.4,27.2,0.472,0.351,0.75,7.4,7.2,2.2,0.7,3.3,25.74,106,103.8,2.2,32.4,2.2,20.7,9.4,50.4,55.4,29.2,14.3,,93,4.6,93,1270,0.073
Tracy McGrady,2005,HOU,34,0.414,,40.8,25.7,0.431,0.326,0.774,6.2,5.7,1.7,0.7,2.6,22.97,105.4,100.7,4.8,27.6,2.23,17.5,7.9,47.3,52.6,30.4,12,,87.5,15.6,44,1270,0.034
Dwyane Wade,2005,MIA,52,0.634,,38.6,24.1,0.478,0.289,0.762,5.2,6.8,1.6,1.1,,23.2,109.5,102.7,6.8,30.3,1.62,20.8,12.9,48.3,56.1,30.2,11,,101.4,3,43,1270,0.033
Amar'e Stoudemire,2005,PHO,54,0.658,,36.1,26,0.559,0.188,0.733,8.9,1.6,1,1.6,,26.71,115.5,104.8,10.6,7.5,0.69,6.5,9.4,56,61.7,28.1,14.6,,93.1,4.2,41,1270,0.032
Ray Allen,2005,SEA,35,0.426,,39.3,23.9,0.428,0.376,0.883,4.4,3.7,1.1,0.1,2.2,20.97,111.3,106.8,4.4,17.6,1.69,13.6,8,49.8,55.5,27,10.7,,96.5,13.2,41,1270,0.032
Kevin Garnett,2005,MIN,33,0.402,,38.1,22.2,0.502,0.24,0.811,13.5,5.7,1.5,1.4,2.7,28.29,106.7,104.2,2.5,26.4,2.1,20.3,9.7,50.4,56.7,26.7,16.1,,90.4,18,15,1270,0.011
Gilbert Arenas,2005,WAS,42,0.512,,40.9,25.5,0.431,0.365,0.814,4.7,5.1,1.7,0.3,,21.23,106.6,105.4,1.2,22.4,1.7,16.8,9.9,49.8,56.5,26.5,11.5,,,10.2,4,1270,0.003
Vince Carter,2005,TOT,,0,,36.7,24.5,0.452,0.406,0.798,5.2,4.2,1.4,0.6,2.6,22.92,101.9,100.9,1,23.4,1.95,14.6,7.5,49.3,54.1,30.4,9.4,,,13.8,3,1270,0.002
P.J. Brown,2005,NOH,38,0.463,,34.4,10.8,0.446,,0.864,9,2.2,0.9,0.6,,15.53,98.7,106.3,-7.6,10.9,1.76,15.5,8.8,44.6,51.2,15.6,6.9,,82.7,8,1,1270,0
Marcus Camby,2005,DEN,44,0.536,,30.5,10.3,0.465,0,0.723,10,2.3,0.9,3,,18.05,104,101.4,2.7,11.9,1.48,16.2,11,46.5,50.5,17.3,5.8,,,9.4,1,1270,0
Shawn Marion,2005,PHO,54,0.658,,38.8,19.4,0.476,0.334,0.833,11.3,1.9,2,1.5,,21.71,114.7,104.7,10,7.2,1.23,9.2,7.4,52,55.6,20.7,12.5,,93.1,13.7,1,1270,0
Kevin Garnett,2004,MIN,44,0.536,,39.4,24.2,0.499,0.256,0.791,13.9,5,1.5,2.2,2.6,29.5,106.1,96.2,9.8,23.3,1.93,16.7,8.7,50.2,54.7,29,18.3,,92.8,28,1219,1230,0.991
Tim Duncan,2004,SAS,59,0.719,,36.6,22.3,0.501,0.167,0.599,12.4,3.1,0.9,2.7,2.7,27.14,101,89.6,11.4,17,1.16,11.6,9.9,50.2,53.4,29.5,13.1,,97.5,12.67,716,1230,0.582
Jermaine O'Neal,2004,IND,44,0.536,,35.7,20.1,0.434,0.111,0.757,10,2.1,0.8,2.6,,21.2,103.3,94.9,8.5,11.9,0.91,8.4,9.2,43.5,48.9,29.8,9,,90.2,13.15,523,1230,0.425
Peja Stojakovic,2004,SAC,50,0.609,,40.3,24.2,0.48,0.433,0.927,6.3,2.1,1.3,0.2,1.9,21.76,109.4,102.7,6.8,9,1.13,9.2,8.1,56.6,62.4,23.4,13.5,,100,6.8,281,1230,0.228
Kobe Bryant,2004,LAL,34,0.414,,37.6,24,0.438,0.327,0.852,5.5,5.1,1.7,0.4,2.6,23.67,105.6,99.6,6,23.7,1.93,17.3,9,46.8,55.1,28,10.7,,98.4,13.5,212,1230,0.172
Shaquille O'Neal,2004,LAL,34,0.414,,36.8,21.5,0.584,,0.49,11.5,2.9,0.5,2.5,2.9,24.48,107.2,97.8,9.4,14,1.01,12,11.9,58.4,57.8,25.8,9.9,,98.4,29.4,178,1230,0.144
Ben Wallace,2004,DET,54,0.658,,37.7,9.5,0.421,0.125,0.49,12.4,1.7,1.8,3,1.5,17.49,99.8,92.8,7.2,7.5,1.12,12.1,10.8,42.2,44.1,14.9,10.2,,96.4,6,24,1230,0.019
Jason Kidd,2004,NJN,42,0.512,,36.6,15.5,0.384,0.321,0.827,6.4,9.2,1.8,0.2,3.2,19.7,101.3,93.6,7.6,42.2,2.89,32.7,11.3,43.3,48.5,23.5,7.2,,,13.15,17,1230,0.013
LeBron James,2004,CLE,42,0.512,,39.5,20.9,0.417,0.29,0.754,5.5,5.9,1.6,0.7,3.5,18.3,101.1,103.1,-1.9,26.8,1.7,19.2,11.3,43.8,48.8,27.6,5.1,,88.9,4.01,11,1230,0.008
Sam Cassell,2004,UTA,26,0.317,,37.1,16.5,0.443,0.338,0.79,8.1,3.1,1.9,2.8,,22.84,106.7,96.7,10.1,35.4,2.69,26.7,9.9,51.7,56.6,26.3,11.6,,,5.06,2,1230,0.001
Baron Davis,2004,NOH,18,0.219,,40.1,22.9,0.395,0.321,0.673,4.3,7.5,2.4,0.4,,20.74,102.3,98.5,3.8,36.3,2.33,22.1,9.5,46.2,49.2,29.5,7.5,,,10.96,4,1230,0.003
Dirk Nowitzki,2004,HOU,51,0.621,,32.8,17.5,0.522,0,0.809,9,1.5,0.3,1.9,1.8,22.56,111.9,105.1,6.8,11,1.53,11.3,7.4,50,56.1,24.2,11.4,,,11.32,1,1230,0
Andrei Kirilenko,2004,MIN,44,0.536,,35,19.8,0.488,0.398,0.873,3.3,7.3,1.3,0.2,,22.79,102,100,2,15.2,1.13,15.2,13.4,47.9,55.9,21.4,12.1,,,1.6,4,1230,0.003
Carmelo Anthony,2004,DAL,58,0.707,,37.9,21.8,0.462,0.341,0.877,8.7,2.7,1.2,1.4,,17.58,103.3,102.2,1.1,13.4,0.92,10.4,11.3,44.9,50.9,28.1,11.5,,,3.22,4,1230,0.003
Yao Ming,2004,DEN,49,0.597,,36.5,21,0.426,0.322,0.777,6.1,2.8,1.2,0.5,,21.96,100,95.8,4.3,9,0.6,7.9,13.2,52.2,58.6,24.7,6.1,,,4.14,1,1230,0
Michael Redd,2004,MIL,30,0.365,,36.8,21.7,0.44,0.35,0.868,5,2.3,1,0.1,,19.87,103.3,104.5,-1.2,11.2,1.59,9.6,6,48.4,54.4,25.3,9.7,,,3,1,1230,0
Tim Duncan,2003,SAS,57,0.695,,39.3,23.3,0.513,0.273,0.71,12.9,3.9,0.7,2.9,3.1,26.46,105.5,95.9,9.6,19.1,1.27,14.1,11.1,51.5,56.4,27.6,16.5,,,13.2,962,1190,0.808
Kevin Garnett,2003,MIN,58,0.707,,40.5,23,0.502,0.282,0.751,13.4,6,1.4,1.6,2.8,26.46,106.4,100.2,6.2,24.9,2.16,20.5,9.5,50.8,55.3,25.8,15.6,,,28,871,1190,0.731
Kobe Bryant,2003,LAL,56,0.682,,41.5,30,0.451,0.383,0.843,6.9,5.9,2.2,0.8,3.5,27.07,106.2,102.4,3.8,26.8,1.67,16.1,9.6,48.3,55,32.3,14.9,,,12.37,496,1190,0.416
Tracy McGrady,2003,ORL,21,0.256,,39.4,32.1,0.457,0.386,0.793,6.5,5.5,1.7,0.8,2.6,31.01,107.7,104.1,3.7,28.2,2.11,15,7.1,50.5,56.4,34.6,16.1,,,13.2,427,1190,0.358
Shaquille O'Neal,2003,LAL,56,0.682,,37.8,27.5,0.574,,0.622,11.1,3.1,0.6,2.4,2.9,29.43,110,103,6.9,15,1.05,10.7,10.2,57.4,60.2,29.9,13.2,,,26.5,126,1190,0.105
Allen Iverson,2003,PHI,33,0.402,,42.5,27.6,0.414,0.277,0.774,4.2,5.5,2.7,0.2,3.5,22.14,103.2,100.3,2.9,24.8,1.59,15.1,9.5,43.6,50,32.3,9.2,,,12.37,83,1190,0.069
Dirk Nowitzki,2003,DAL,52,0.634,,39,25.1,0.463,0.379,0.881,9.9,3,1.4,1,1.9,25.94,111.9,99,12.9,12.9,1.57,11.3,7.2,51.3,58.1,26.9,16.1,,,10.06,43,1190,0.036
Ben Wallace,2003,DET,54,0.658,,39.4,6.9,0.481,0.167,0.45,15.4,1.6,1.4,3.2,1.2,15.62,100.5,96.3,4.2,6.9,1.36,16.4,12,48.2,48.6,10.1,10.6,,,5.5,33,1190,0.027
Jason Kidd,2003,NJN,47,0.573,,37.4,18.7,0.414,0.341,0.841,6.3,8.9,2.2,0.3,3.7,22.62,104.5,96.3,8.1,40.7,2.4,29.6,12.3,46.5,52.6,24.8,11.3,,,10.9,31,1190,0.026
Chris Webber,2003,SAC,55,0.67,,39.1,23,0.461,0.238,0.607,10.5,5.4,1.6,1.3,3.2,21.48,105.1,97.5,7.7,23.8,1.69,16.8,9.9,46.3,48.5,30,6.9,,,15.9,19,1190,0.015
Jamal Mashburn,2003,NOH,41,0.5,,40.5,21.6,0.422,0.389,0.848,6.1,5.6,1,0.2,2.8,18.93,102.8,100.3,2.5,25.9,2.01,19,9.5,46,50.7,26.4,9,,,8.5,1,1190,0
Steve Nash,2003,DAL,52,0.634,,33.1,17.7,0.465,0.413,0.909,2.9,7.3,1,0.1,2.6,23.51,110.8,100.8,10,35.1,3.11,29.4,9.4,51.5,57.6,23.6,11.6,,,5.7,1,1190,0
Paul Pierce,2003,BOS,36,0.439,,39.2,25.9,0.416,0.302,0.802,7.3,4.4,3.6,0.8,4.4,23.49,101.6,99.4,2.2,23.6,1.21,13.8,11.4,45.4,53.2,32.1,10.1,,,10.06,1,1190,0